Arrive Or Depart,Schedule,Airline,Flight Number,Gate,Terminal
A,1/1/2018 1:04:00 AM,Spirit Airlines,971,2,2
A,1/1/2018 12:05:00 AM,Frontier Airlines,1881,,3
A,1/1/2018 12:04:00 AM,American Airlines,839,,4
A,1/1/2018 12:05:00 AM,American Airlines,2679,,4
A,1/1/2018 12:05:00 AM,American Airlines,861,,4
A,1/1/2018 12:05:00 AM,American Airlines,889,,4
A,1/1/2018 12:05:00 AM,Southwest Airlines,891,,4
A,1/1/2018 12:14:00 AM,United Airlines,716,,2
A,1/1/2018 12:40:00 AM,Southwest Airlines,523,,4
A,1/1/2018 1:15:00 AM,Southwest Airlines,1563,,4
D,1/1/2018 1:35:00 AM,Delta Air Lines,647,17,3
D,1/1/2018 1:57:00 AM,Spirit Airlines,972,2,2
D,1/1/2018 2:20:00 AM,American Airlines,655,A5,4
D,1/1/2018 5:00:00 AM,American Airlines,605,A11,4
D,1/1/2018 5:15:00 AM,United Airlines,859,6A,2
D,1/1/2018 5:15:00 AM,Southwest Airlines,9,D7,4
D,1/1/2018 5:15:00 AM,Southwest Airlines,518,C9,4
D,1/1/2018 5:25:00 AM,Southwest Airlines,1711,C18,4
D,1/1/2018 5:50:00 AM,Southwest Airlines,121,D2,4
D,1/1/2018 5:55:00 AM,Southwest Airlines,1080,C14,4
D,1/1/2018 6:00:00 AM,American Airlines,632,A5,4
D,1/1/2018 6:00:00 AM,Alaska Airlines,959,10,2
D,1/1/2018 6:00:00 AM,United Airlines,1774,3,2
D,1/1/2018 6:00:00 AM,Southwest Airlines,403,D4,4
D,1/1/2018 6:00:00 AM,Southwest Airlines,1540,D3,4
D,1/1/2018 6:00:00 AM,Southwest Airlines,1898,C11,4
A,1/1/2018 6:04:00 AM,American Airlines,673,B28,4
D,1/1/2018 6:05:00 AM,United Airlines,582,5,2
D,1/1/2018 6:10:00 AM,American Airlines,691,B14,4
D,1/1/2018 6:13:00 AM,United Airlines,1600,6B,2
D,1/1/2018 6:15:00 AM,Southwest Airlines,210,C19,4
D,1/1/2018 6:20:00 AM,American Airlines,1061,A18,4
D,1/1/2018 6:20:00 AM,Frontier Airlines,740,20,3
D,1/1/2018 6:20:00 AM,Southwest Airlines,1390,C2,4
D,1/1/2018 6:20:00 AM,Southwest Airlines,1922,C4,4
D,1/1/2018 6:25:00 AM,Delta Air Lines,2162,18,3
D,1/1/2018 6:30:00 AM,Southwest Airlines,1573,C17,4
D,1/1/2018 6:35:00 AM,United Airlines,781,7,2
D,1/1/2018 6:35:00 AM,Southwest Airlines,1974,C3,4
D,1/1/2018 6:40:00 AM,American Airlines,2996,B3,4
A,1/1/2018 6:44:00 AM,American Airlines,602,B14,4
D,1/1/2018 6:45:00 AM,Alaska Airlines,631,11,2
